timestamp,microwave,kettle,computer
2023-01-15 08:30:43,0,0,0
2023-01-15 08:30:44,0,0,0
2023-01-15 08:30:45,0,0,0
2023-01-15 08:30:46,0,0,0
2023-01-15 08:30:47,0,0,0
2023-01-15 08:30:48,0,0,0
2023-01-15 08:30:49,0,0,0
2023-01-15 08:30:50,0,0,0
2023-01-15 08:30:51,0,0,0
2023-01-15 08:30:52,0,0,0
2023-01-15 08:30:53,0,0,0
2023-01-15 08:30:54,0,0,0
2023-01-15 08:30:55,0,0,0
2023-01-15 08:30:56,0,0,0
2023-01-15 08:30:57,0,0,0
2023-01-15 08:30:58,0,0,0
2023-01-15 08:30:59,0,0,0
2023-01-15 08:31:00,0,0,0
2023-01-15 08:31:01,0,0,0
2023-01-15 08:31:02,0,0,0
2023-01-15 08:31:03,0,0,0
2023-01-15 08:31:04,0,0,0
2023-01-15 08:31:05,0,0,0
2023-01-15 08:31:06,0,0,0
2023-01-15 08:31:07,0,0,0
2023-01-15 08:31:08,0,0,0
2023-01-15 08:31:09,0,0,0
2023-01-15 08:31:10,0,0,0
2023-01-15 08:31:11,0,0,0
2023-01-15 08:31:12,0,0,0
2023-01-15 08:31:13,0,0,0
2023-01-15 08:31:14,0,0,0
2023-01-15 08:31:15,0,0,0
2023-01-15 08:31:16,0,0,0
2023-01-15 08:31:17,0,0,0
2023-01-15 08:31:18,0,0,0
2023-01-15 08:31:19,0,0,0
2023-01-15 08:31:20,0,0,0
2023-01-15 08:31:21,0,0,0
2023-01-15 08:31:22,0,0,0
2023-01-15 08:31:23,0,0,0
2023-01-15 08:31:24,0,0,0
2023-01-15 08:31:25,0,0,0
2023-01-15 08:31:26,0,0,0
2023-01-15 08:31:27,0,0,0
2023-01-15 08:31:28,0,0,0
2023-01-15 08:31:29,0,0,0
2023-01-15 08:31:30,0,0,0
2023-01-15 08:31:31,0,0,0
2023-01-15 08:31:32,0,0,0
2023-01-15 08:31:33,0,0,0
2023-01-15 08:31:34,0,0,0
2023-01-15 08:31:35,0,0,0
2023-01-15 08:31:36,0,0,0
2023-01-15 08:31:37,0,0,0
2023-01-15 08:31:38,0,0,0
2023-01-15 08:31:39,0,0,0
2023-01-15 08:31:40,0,0,0
2023-01-15 08:31:41,0,0,0
2023-01-15 08:31:42,0,0,0
2023-01-15 08:31:43,0,0,0
2023-01-15 08:31:44,0,0,0
2023-01-15 08:31:45,0,0,0
2023-01-15 08:31:46,0,0,0
2023-01-15 08:31:47,0,0,0
2023-01-15 08:31:48,0,0,0
2023-01-15 08:31:49,0,0,0
2023-01-15 08:31:50,0,0,0
2023-01-15 08:31:51,0,0,0
2023-01-15 08:31:52,0,0,0
2023-01-15 08:31:53,0,0,0
2023-01-15 08:31:54,0,0,0
2023-01-15 08:31:55,0,0,0
2023-01-15 08:31:56,0,0,0
2023-01-15 08:31:57,0,0,0
2023-01-15 08:31:58,0,0,0
2023-01-15 08:31:59,0,0,0
2023-01-15 08:32:00,0,0,0
2023-01-15 08:32:01,0,0,0
2023-01-15 08:32:02,0,0,0
2023-01-15 08:32:03,0,0,0
2023-01-15 08:32:04,0,0,0
2023-01-15 08:32:05,0,0,0
2023-01-15 08:32:06,0,0,0
2023-01-15 08:32:07,0,0,0
2023-01-15 08:32:08,0,0,0
2023-01-15 08:32:09,0,0,0
2023-01-15 08:32:10,0,0,0
2023-01-15 08:32:11,0,0,0
2023-01-15 08:32:12,0,0,0
2023-01-15 08:32:13,0,0,0
2023-01-15 08:32:14,0,0,0
2023-01-15 08:32:15,0,0,0
2023-01-15 08:32:16,0,0,0
2023-01-15 08:32:17,0,0,0
2023-01-15 08:32:18,0,0,0
2023-01-15 08:32:19,0,0,0
2023-01-15 08:32:20,0,0,0
2023-01-15 08:32:21,0,0,0
2023-01-15 08:32:22,0,0,0
2023-01-15 08:32:23,0,0,0
2023-01-15 08:32:24,0,0,0
2023-01-15 08:32:25,0,0,0
2023-01-15 08:32:26,0,0,0
2023-01-15 08:32:27,0,0,0
2023-01-15 08:32:28,0,0,0
2023-01-15 08:32:29,0,0,0
2023-01-15 08:32:30,0,0,0
2023-01-15 08:32:31,0,0,0
2023-01-15 08:32:32,0,0,0
2023-01-15 08:32:33,0,0,0
2023-01-15 08:32:34,0,0,0
2023-01-15 08:32:35,0,0,0
2023-01-15 08:32:36,0,0,0
2023-01-15 08:32:37,0,0,0
2023-01-15 08:32:38,0,0,0
2023-01-15 08:32:39,0,0,0
2023-01-15 08:32:40,0,0,0
2023-01-15 08:32:41,0,0,0
2023-01-15 08:32:42,0,0,0
2023-01-15 08:32:43,0,0,0
2023-01-15 08:32:44,0,0,0
2023-01-15 08:32:45,0,0,0
2023-01-15 08:32:46,0,0,0
2023-01-15 08:32:47,0,0,0
2023-01-15 08:32:48,0,0,0
2023-01-15 08:32:49,0,0,0
2023-01-15 08:32:50,0,0,0
2023-01-15 08:32:51,0,0,0
2023-01-15 08:32:52,0,0,0
2023-01-15 08:32:53,0,0,0
2023-01-15 08:32:54,0,0,0
2023-01-15 08:32:55,0,0,0
2023-01-15 08:32:56,0,0,0
2023-01-15 08:32:57,0,0,0
2023-01-15 08:32:58,0,0,0
2023-01-15 08:32:59,0,0,0
2023-01-15 08:33:00,0,0,0
2023-01-15 08:33:01,0,0,0
2023-01-15 08:33:02,0,0,0
2023-01-15 08:33:03,0,0,0
2023-01-15 08:33:04,0,0,0
2023-01-15 08:33:05,0,0,0
2023-01-15 08:33:06,0,0,0
2023-01-15 08:33:07,0,0,0
2023-01-15 08:33:08,0,0,0
2023-01-15 08:33:09,0,0,0
2023-01-15 08:33:10,0,0,0
2023-01-15 08:33:11,0,0,0
2023-01-15 08:33:12,0,0,0
2023-01-15 08:33:13,0,0,0
2023-01-15 08:33:14,0,0,0
2023-01-15 08:33:15,0,0,0
2023-01-15 08:33:16,0,0,0
2023-01-15 08:33:17,0,0,0
2023-01-15 08:33:18,0,0,0
2023-01-15 08:33:19,0,0,0
2023-01-15 08:33:20,0,0,0
2023-01-15 08:33:21,0,0,0
2023-01-15 08:33:22,0,0,0
2023-01-15 08:33:23,0,0,0
2023-01-15 08:33:24,0,0,0
2023-01-15 08:33:25,0,0,0
2023-01-15 08:33:26,0,0,0
2023-01-15 08:33:27,0,0,0
2023-01-15 08:33:28,0,0,0
2023-01-15 08:33:29,0,0,0
2023-01-15 08:33:30,0,0,0
2023-01-15 08:33:31,0,0,0
2023-01-15 08:33:32,0,0,0
2023-01-15 08:33:33,0,0,0
2023-01-15 08:33:34,0,0,0
2023-01-15 08:33:35,0,0,0
2023-01-15 08:33:36,0,0,0
2023-01-15 08:33:37,0,0,0
2023-01-15 08:33:38,0,0,0
2023-01-15 08:33:39,0,0,0
2023-01-15 08:33:40,0,0,0
2023-01-15 08:33:41,0,0,0
2023-01-15 08:33:42,0,0,0
2023-01-15 08:33:43,0,0,0
2023-01-15 08:33:44,0,0,0
2023-01-15 08:33:45,0,0,0
2023-01-15 08:33:46,0,0,0
2023-01-15 08:33:47,0,0,0
2023-01-15 08:33:48,0,0,0
2023-01-15 08:33:49,0,0,0
2023-01-15 08:33:50,0,0,0
2023-01-15 08:33:51,0,0,0
2023-01-15 08:33:52,0,0,0
2023-01-15 08:33:53,0,0,0
2023-01-15 08:33:54,0,0,0
2023-01-15 08:33:55,0,0,0
2023-01-15 08:33:56,0,0,0
2023-01-15 08:33:57,0,0,0
2023-01-15 08:33:58,0,0,0
2023-01-15 08:33:59,0,0,0
2023-01-15 08:34:00,0,0,0
2023-01-15 08:34:01,0,0,0
2023-01-15 08:34:02,0,0,0
2023-01-15 08:34:03,0,0,0
2023-01-15 08:34:04,0,0,0
2023-01-15 08:34:05,0,0,0
2023-01-15 08:34:06,0,0,0
2023-01-15 08:34:07,0,0,0
2023-01-15 08:34:08,0,0,0
2023-01-15 08:34:09,0,0,0
2023-01-15 08:34:10,0,0,0
2023-01-15 08:34:11,0,0,0
2023-01-15 08:34:12,0,0,0
2023-01-15 08:34:13,0,0,0
2023-01-15 08:34:14,0,0,0
2023-01-15 08:34:15,0,0,0
2023-01-15 08:34:16,0,0,0
2023-01-15 08:34:17,0,0,0
2023-01-15 08:34:18,0,0,0
2023-01-15 08:34:19,0,0,0
2023-01-15 08:34:20,0,0,0
2023-01-15 08:34:21,0,0,0
2023-01-15 08:34:22,0,0,0
2023-01-15 08:34:23,0,0,0
2023-01-15 08:34:24,0,0,0
2023-01-15 08:34:25,0,0,0
2023-01-15 08:34:26,0,0,0
2023-01-15 08:34:27,0,0,0
2023-01-15 08:34:28,0,0,0
2023-01-15 08:34:29,0,0,0
2023-01-15 08:34:30,0,0,0
2023-01-15 08:34:31,0,0,0
2023-01-15 08:34:32,0,0,0
2023-01-15 08:34:33,0,0,0
2023-01-15 08:34:34,0,0,0
2023-01-15 08:34:35,0,0,0
2023-01-15 08:34:36,0,0,0
2023-01-15 08:34:37,0,0,0
2023-01-15 08:34:38,0,0,0
2023-01-15 08:34:39,0,0,0
2023-01-15 08:34:40,0,0,0
2023-01-15 08:34:41,0,0,0
2023-01-15 08:34:42,0,0,0
2023-01-15 08:34:43,0,0,0
2023-01-15 08:34:44,0,0,0
2023-01-15 08:34:45,0,0,0
2023-01-15 08:34:46,0,0,0
2023-01-15 08:34:47,0,0,0
2023-01-15 08:34:48,0,0,0
2023-01-15 08:34:49,0,0,0
2023-01-15 08:34:50,0,0,0
2023-01-15 08:34:51,0,0,0
2023-01-15 08:34:52,0,0,0
2023-01-15 08:34:53,0,0,0
2023-01-15 08:34:54,0,0,0
2023-01-15 08:34:55,0,0,0
2023-01-15 08:34:56,0,0,0
2023-01-15 08:34:57,0,0,0
2023-01-15 08:34:58,0,0,0
2023-01-15 08:34:59,0,0,0
2023-01-15 08:35:00,0,0,0
2023-01-15 08:35:01,0,0,0
2023-01-15 08:35:02,0,0,0
2023-01-15 08:35:03,0,0,0
2023-01-15 08:35:04,0,0,0
2023-01-15 08:35:05,0,0,0
2023-01-15 08:35:06,0,0,0
2023-01-15 08:35:07,0,0,0
2023-01-15 08:35:08,0,0,0
2023-01-15 08:35:09,0,0,0
2023-01-15 08:35:10,0,0,0
2023-01-15 08:35:11,0,0,0
2023-01-15 08:35:12,0,0,0
2023-01-15 08:35:13,0,0,0
2023-01-15 08:35:14,0,0,0
2023-01-15 08:35:15,0,0,0
2023-01-15 08:35:16,0,0,0
2023-01-15 08:35:17,0,0,0
2023-01-15 08:35:18,0,0,0
2023-01-15 08:35:19,0,0,0
2023-01-15 08:35:20,0,0,0
2023-01-15 08:35:21,0,0,0
2023-01-15 08:35:22,0,0,0
2023-01-15 08:35:23,0,0,0
2023-01-15 08:35:24,0,0,0
2023-01-15 08:35:25,0,0,0
2023-01-15 08:35:26,0,0,0
2023-01-15 08:35:27,0,0,0
2023-01-15 08:35:28,0,0,0
2023-01-15 08:35:29,0,0,0
2023-01-15 08:35:30,0,0,0
2023-01-15 08:35:31,0,0,0
2023-01-15 08:35:32,0,0,0
2023-01-15 08:35:33,0,0,0
2023-01-15 08:35:34,0,0,0
2023-01-15 08:35:35,0,0,0
2023-01-15 08:35:36,0,0,0
2023-01-15 08:35:37,0,0,0
2023-01-15 08:35:38,0,0,0
2023-01-15 08:35:39,0,0,0
2023-01-15 08:35:40,0,0,0
2023-01-15 08:35:41,0,0,0
2023-01-15 08:35:42,0,0,0
2023-01-15 08:35:43,0,0,0
2023-01-15 08:35:44,0,0,0
2023-01-15 08:35:45,0,0,0
2023-01-15 08:35:46,0,0,0
2023-01-15 08:35:47,0,0,0
2023-01-15 08:35:48,0,0,0
2023-01-15 08:35:49,0,0,0
2023-01-15 08:35:50,0,0,0
2023-01-15 08:35:51,0,0,0
2023-01-15 08:35:52,0,0,0
2023-01-15 08:35:53,0,0,0
2023-01-15 08:35:54,0,0,0
2023-01-15 08:35:55,0,0,0
2023-01-15 08:35:56,0,0,0
2023-01-15 08:35:57,0,0,0
2023-01-15 08:35:58,0,0,0
2023-01-15 08:35:59,0,0,0
2023-01-15 08:36:00,0,0,0
2023-01-15 08:36:01,0,0,0
2023-01-15 08:36:02,0,0,0
2023-01-15 08:36:03,0,0,0
2023-01-15 08:36:04,0,0,0
2023-01-15 08:36:05,0,0,0
2023-01-15 08:36:06,0,0,0
2023-01-15 08:36:07,0,0,0
2023-01-15 08:36:08,0,0,0
2023-01-15 08:36:09,0,0,0
2023-01-15 08:36:10,0,0,0
2023-01-15 08:36:11,0,0,0
2023-01-15 08:36:12,0,0,0
2023-01-15 08:36:13,0,0,0
2023-01-15 08:36:14,0,0,0
2023-01-15 08:36:15,0,0,0
2023-01-15 08:36:16,0,0,0
2023-01-15 08:36:17,0,0,0
2023-01-15 08:36:18,0,0,0
2023-01-15 08:36:19,0,0,0
2023-01-15 08:36:20,0,0,0
2023-01-15 08:36:21,0,0,0
2023-01-15 08:36:22,0,0,0
2023-01-15 08:36:23,0,0,0
2023-01-15 08:36:24,0,0,0
2023-01-15 08:36:25,0,0,0
2023-01-15 08:36:26,0,0,0
2023-01-15 08:36:27,0,0,0
2023-01-15 08:36:28,0,0,0
2023-01-15 08:36:29,0,0,0
2023-01-15 08:36:30,0,0,0
2023-01-15 08:36:31,0,0,0
2023-01-15 08:36:32,0,0,0
2023-01-15 08:36:33,0,0,0
2023-01-15 08:36:34,0,0,0
2023-01-15 08:36:35,0,0,0
2023-01-15 08:36:36,0,0,0
2023-01-15 08:36:37,0,0,0
2023-01-15 08:36:38,0,0,0
2023-01-15 08:36:39,0,0,0
2023-01-15 08:36:40,0,0,0
2023-01-15 08:36:41,0,0,0
2023-01-15 08:36:42,0,0,0
2023-01-15 08:36:43,0,0,0
2023-01-15 08:36:44,0,0,0
2023-01-15 08:36:45,0,0,0
2023-01-15 08:36:46,0,0,0
2023-01-15 08:36:47,0,0,0
2023-01-15 08:36:48,0,0,0
2023-01-15 08:36:49,0,0,0
2023-01-15 08:36:50,0,0,0
2023-01-15 08:36:51,0,0,0
2023-01-15 08:36:52,0,0,0
2023-01-15 08:36:53,0,0,0
2023-01-15 08:36:54,0,0,0
2023-01-15 08:36:55,0,0,0
2023-01-15 08:36:56,0,0,0
2023-01-15 08:36:57,0,0,0
2023-01-15 08:36:58,0,0,0
2023-01-15 08:36:59,0,0,0
2023-01-15 08:37:00,0,0,0
2023-01-15 08:37:01,0,0,0
2023-01-15 08:37:02,0,0,0
2023-01-15 08:37:03,0,0,0
2023-01-15 08:37:04,0,0,0
2023-01-15 08:37:05,0,0,0
2023-01-15 08:37:06,0,0,0
2023-01-15 08:37:07,0,0,0
2023-01-15 08:37:08,0,0,0
2023-01-15 08:37:09,0,0,0
2023-01-15 08:37:10,0,0,0
2023-01-15 08:37:11,0,0,0
2023-01-15 08:37:12,0,0,0
2023-01-15 08:37:13,0,0,0
2023-01-15 08:37:14,0,0,0
2023-01-15 08:37:15,0,0,0
2023-01-15 08:37:16,0,0,0
2023-01-15 08:37:17,0,0,0
2023-01-15 08:37:18,0,0,0
2023-01-15 08:37:19,0,0,0
2023-01-15 08:37:20,0,0,0
2023-01-15 08:37:21,0,0,0
2023-01-15 08:37:22,0,0,0
2023-01-15 08:37:23,0,0,0
2023-01-15 08:37:24,0,0,0
2023-01-15 08:37:25,0,0,0
2023-01-15 08:37:26,0,0,0
2023-01-15 08:37:27,0,0,0
2023-01-15 08:37:28,0,0,0
2023-01-15 08:37:29,0,0,0
2023-01-15 08:37:30,0,0,0
2023-01-15 08:37:31,0,0,0
2023-01-15 08:37:32,0,0,0
2023-01-15 08:37:33,0,0,0
2023-01-15 08:37:34,0,0,0
2023-01-15 08:37:35,0,0,0
2023-01-15 08:37:36,0,0,0
2023-01-15 08:37:37,0,0,0
2023-01-15 08:37:38,0,0,0
2023-01-15 08:37:39,0,0,0
2023-01-15 08:37:40,0,0,0
2023-01-15 08:37:41,0,0,0
2023-01-15 08:37:42,0,0,0
2023-01-15 08:37:43,0,0,0
2023-01-15 08:37:44,0,0,0
2023-01-15 08:37:45,0,0,0
2023-01-15 08:37:46,0,0,0
2023-01-15 08:37:47,0,0,0
2023-01-15 08:37:48,0,0,0
2023-01-15 08:37:49,0,0,0
2023-01-15 08:37:50,0,0,0
2023-01-15 08:37:51,0,0,0
2023-01-15 08:37:52,0,0,0
2023-01-15 08:37:53,0,0,0
2023-01-15 08:37:54,0,0,0
2023-01-15 08:37:55,0,0,0
2023-01-15 08:37:56,0,0,0
2023-01-15 08:37:57,0,0,0
2023-01-15 08:37:58,0,0,0
2023-01-15 08:37:59,0,0,0
2023-01-15 08:38:00,0,0,0
2023-01-15 08:38:01,0,0,0
2023-01-15 08:38:02,0,0,0
2023-01-15 08:38:03,0,0,0
2023-01-15 08:38:04,0,0,0
2023-01-15 08:38:05,0,0,0
2023-01-15 08:38:06,0,0,0
2023-01-15 08:38:07,0,0,0
2023-01-15 08:38:08,0,0,0
2023-01-15 08:38:09,0,0,0
2023-01-15 08:38:10,0,0,0
2023-01-15 08:38:11,0,0,0
2023-01-15 08:38:12,0,0,0
2023-01-15 08:38:13,0,0,0
2023-01-15 08:38:14,0,0,0
2023-01-15 08:38:15,0,0,0
2023-01-15 08:38:16,0,0,0
2023-01-15 08:38:17,0,0,0
2023-01-15 08:38:18,0,0,0
2023-01-15 08:38:19,0,0,0
2023-01-15 08:38:20,0,0,0
2023-01-15 08:38:21,0,0,0
2023-01-15 08:38:22,0,0,0
2023-01-15 08:38:23,0,0,0
2023-01-15 08:38:24,0,0,0
2023-01-15 08:38:25,0,0,0
2023-01-15 08:38:26,0,0,0
2023-01-15 08:38:27,0,0,0
2023-01-15 08:38:28,0,0,0
2023-01-15 08:38:29,0,0,0
2023-01-15 08:38:30,0,0,0
2023-01-15 08:38:31,0,0,0
2023-01-15 08:38:32,0,0,0
2023-01-15 08:38:33,0,0,0
2023-01-15 08:38:34,0,0,0
2023-01-15 08:38:35,0,0,0
2023-01-15 08:38:36,0,0,0
2023-01-15 08:38:37,0,0,0
2023-01-15 08:38:38,0,0,0
2023-01-15 08:38:39,0,0,0
2023-01-15 08:38:40,0,0,0
2023-01-15 08:38:41,0,0,0
2023-01-15 08:38:42,0,0,0
2023-01-15 08:38:43,0,0,0
2023-01-15 08:38:44,0,0,0
2023-01-15 08:38:45,0,0,0
2023-01-15 08:38:46,0,0,0
2023-01-15 08:38:47,0,0,0
2023-01-15 08:38:48,0,0,0
2023-01-15 08:38:49,0,0,0
2023-01-15 08:38:50,0,0,0
2023-01-15 08:38:51,0,0,0
2023-01-15 08:38:52,0,0,0
2023-01-15 08:38:53,0,0,0
2023-01-15 08:38:54,0,0,0
2023-01-15 08:38:55,0,0,0
2023-01-15 08:38:56,0,0,0
2023-01-15 08:38:57,0,0,0
2023-01-15 08:38:58,0,0,0
2023-01-15 08:38:59,0,0,0
2023-01-15 08:39:00,0,0,0
2023-01-15 08:39:01,0,0,0
2023-01-15 08:39:02,0,0,0
2023-01-15 08:39:03,0,0,0
2023-01-15 08:39:04,0,0,0
2023-01-15 08:39:05,0,0,0
2023-01-15 08:39:06,0,0,0
2023-01-15 08:39:07,0,0,0
2023-01-15 08:39:08,0,0,0
2023-01-15 08:39:09,0,0,0
2023-01-15 08:39:10,0,0,0
2023-01-15 08:39:11,0,0,0
2023-01-15 08:39:12,0,0,0
2023-01-15 08:39:13,0,0,0
2023-01-15 08:39:14,0,0,0
2023-01-15 08:39:15,0,0,0
2023-01-15 08:39:16,0,0,0
2023-01-15 08:39:17,0,0,0
2023-01-15 08:39:18,0,0,0
2023-01-15 08:39:19,0,0,0
2023-01-15 08:39:20,0,0,0
2023-01-15 08:39:21,0,0,0
2023-01-15 08:39:22,0,0,0
2023-01-15 08:39:23,0,0,0
2023-01-15 08:39:24,0,0,0
2023-01-15 08:39:25,0,0,0
2023-01-15 08:39:26,0,0,0
2023-01-15 08:39:27,0,0,0
2023-01-15 08:39:28,0,0,0
2023-01-15 08:39:29,0,0,0
2023-01-15 08:39:30,0,0,0
2023-01-15 08:39:31,0,0,0
2023-01-15 08:39:32,0,0,0
2023-01-15 08:39:33,0,0,0
2023-01-15 08:39:34,0,0,0
2023-01-15 08:39:35,0,0,0
2023-01-15 08:39:36,0,0,0
2023-01-15 08:39:37,0,0,0
2023-01-15 08:39:38,0,0,0
2023-01-15 08:39:39,0,0,0
2023-01-15 08:39:40,0,0,0
2023-01-15 08:39:41,0,0,0
2023-01-15 08:39:42,0,0,0
2023-01-15 08:39:43,0,0,0
2023-01-15 08:39:44,0,0,0
2023-01-15 08:39:45,0,0,0
2023-01-15 08:39:46,0,0,0
2023-01-15 08:39:47,0,0,0
2023-01-15 08:39:48,0,0,0
2023-01-15 08:39:49,0,0,0
2023-01-15 08:39:50,0,0,0
2023-01-15 08:39:51,0,0,0
2023-01-15 08:39:52,0,0,0
2023-01-15 08:39:53,0,0,0
2023-01-15 08:39:54,0,0,0
2023-01-15 08:39:55,0,0,0
2023-01-15 08:39:56,0,0,0
2023-01-15 08:39:57,0,0,0
2023-01-15 08:39:58,0,0,0
2023-01-15 08:39:59,0,0,0
2023-01-15 08:40:00,0,0,0
2023-01-15 08:40:01,0,0,0
2023-01-15 08:40:02,0,0,0
2023-01-15 08:40:03,0,0,0
2023-01-15 08:40:04,0,0,0
2023-01-15 08:40:05,0,0,0
2023-01-15 08:40:06,0,0,0
2023-01-15 08:40:07,0,0,0
2023-01-15 08:40:08,0,0,0
2023-01-15 08:40:09,0,0,0
2023-01-15 08:40:10,0,0,0
2023-01-15 08:40:11,0,0,0
2023-01-15 08:40:12,0,0,0
2023-01-15 08:40:13,0,0,0
2023-01-15 08:40:14,0,0,0
2023-01-15 08:40:15,0,0,0
2023-01-15 08:40:16,0,0,0
2023-01-15 08:40:17,0,0,0
2023-01-15 08:40:18,0,0,0
2023-01-15 08:40:19,0,0,0
2023-01-15 08:40:20,0,0,0
2023-01-15 08:40:21,0,0,0
2023-01-15 08:40:22,0,0,0
2023-01-15 08:40:23,0,0,0
2023-01-15 08:40:24,0,0,0
2023-01-15 08:40:25,0,0,0
2023-01-15 08:40:26,0,0,0
2023-01-15 08:40:27,0,0,0
2023-01-15 08:40:28,0,0,0
2023-01-15 08:40:29,0,0,0
2023-01-15 08:40:30,0,0,0
2023-01-15 08:40:31,0,0,0
2023-01-15 08:40:32,0,0,0
2023-01-15 08:40:33,0,0,0
2023-01-15 08:40:34,0,0,0
2023-01-15 08:40:35,0,0,0
2023-01-15 08:40:36,0,0,0
2023-01-15 08:40:37,0,0,0
2023-01-15 08:40:38,0,0,0
2023-01-15 08:40:39,0,0,0
2023-01-15 08:40:40,0,0,0
2023-01-15 08:40:41,0,0,0
2023-01-15 08:40:42,0,0,0
2023-01-15 08:40:43,0,0,0
2023-01-15 08:40:44,0,0,0
2023-01-15 08:40:45,0,0,0
2023-01-15 08:40:46,0,0,0
2023-01-15 08:40:47,0,0,0
2023-01-15 08:40:48,0,0,0
2023-01-15 08:40:49,0,0,0
2023-01-15 08:40:50,0,0,0
2023-01-15 08:40:51,0,0,0
2023-01-15 08:40:52,0,0,0
2023-01-15 08:40:53,0,0,0
2023-01-15 08:40:54,0,0,0
2023-01-15 08:40:55,0,0,0
2023-01-15 08:40:56,0,0,0
2023-01-15 08:40:57,0,0,0
2023-01-15 08:40:58,0,0,0
2023-01-15 08:40:59,0,0,0
2023-01-15 08:41:00,0,0,0
2023-01-15 08:41:01,0,0,0
2023-01-15 08:41:02,0,0,0
2023-01-15 08:41:03,0,0,0
2023-01-15 08:41:04,0,0,0
2023-01-15 08:41:05,0,0,0
2023-01-15 08:41:06,0,0,0
2023-01-15 08:41:07,0,0,0
2023-01-15 08:41:08,0,0,0
2023-01-15 08:41:09,0,0,0
2023-01-15 08:41:10,0,0,0
2023-01-15 08:41:11,0,0,0
2023-01-15 08:41:12,0,0,0
2023-01-15 08:41:13,0,0,0
2023-01-15 08:41:14,0,0,0
2023-01-15 08:41:15,0,0,0
2023-01-15 08:41:16,0,0,0
2023-01-15 08:41:17,0,0,0
2023-01-15 08:41:18,0,0,0
2023-01-15 08:41:19,0,0,0
2023-01-15 08:41:20,0,0,0
2023-01-15 08:41:21,0,0,0
2023-01-15 08:41:22,0,0,0
2023-01-15 08:41:23,0,0,0
2023-01-15 08:41:24,0,0,0
2023-01-15 08:41:25,0,0,0
2023-01-15 08:41:26,0,0,0
2023-01-15 08:41:27,0,0,0
2023-01-15 08:41:28,0,0,0
2023-01-15 08:41:29,0,0,0
2023-01-15 08:41:30,0,0,0
2023-01-15 08:41:31,0,0,0
2023-01-15 08:41:32,0,0,0
2023-01-15 08:41:33,0,0,0
2023-01-15 08:41:34,0,0,0
2023-01-15 08:41:35,0,0,0
2023-01-15 08:41:36,0,0,0
2023-01-15 08:41:37,0,0,0
2023-01-15 08:41:38,0,0,0
2023-01-15 08:41:39,0,0,0
2023-01-15 08:41:40,0,0,0
2023-01-15 08:41:41,0,0,0
2023-01-15 08:41:42,0,0,0
2023-01-15 08:41:43,0,0,0
2023-01-15 08:41:44,0,0,0
2023-01-15 08:41:45,0,0,0
2023-01-15 08:41:46,0,0,0
2023-01-15 08:41:47,0,0,0
2023-01-15 08:41:48,0,0,0
2023-01-15 08:41:49,0,0,0
2023-01-15 08:41:50,0,0,0
2023-01-15 08:41:51,0,0,0
2023-01-15 08:41:52,0,0,0
2023-01-15 08:41:53,0,0,0
2023-01-15 08:41:54,0,0,0
2023-01-15 08:41:55,0,0,0
2023-01-15 08:41:56,0,0,0
2023-01-15 08:41:57,0,0,0
2023-01-15 08:41:58,0,0,0
2023-01-15 08:41:59,0,0,0
2023-01-15 08:42:00,0,0,0
2023-01-15 08:42:01,0,0,0
2023-01-15 08:42:02,0,0,0
2023-01-15 08:42:03,0,0,0
2023-01-15 08:42:04,0,0,0
2023-01-15 08:42:05,0,0,0
2023-01-15 08:42:06,0,0,0
2023-01-15 08:42:07,0,0,0
2023-01-15 08:42:08,0,0,0
2023-01-15 08:42:09,0,0,0
2023-01-15 08:42:10,0,0,0
2023-01-15 08:42:11,0,0,0
2023-01-15 08:42:12,0,0,0
2023-01-15 08:42:13,0,0,0
2023-01-15 08:42:14,0,0,0
2023-01-15 08:42:15,0,0,0
2023-01-15 08:42:16,0,0,0
2023-01-15 08:42:17,0,0,0
2023-01-15 08:42:18,0,0,0
2023-01-15 08:42:19,0,0,0
